post_365d_days_at_home,post_365d_days_at_home,post_365d_days_at_home,post_365d_days_in_care,post_365d_days_in_care,post_365d_days_in_care,post_365d_days_dead,post_365d_days_dead,post_365d_days_dead,stroke count (nearest 5),divided_by_feature,divided_by_value
mean,std,median,mean,std,median,mean,std,median,,,
271.91697398036615,135.30699652933004,349.0,22.531906860121556,32.43243824536174,9.0,70.60982279668907,131.882908014763,0.0,136395,population,all
295.3939462756294,117.89343980988089,354.5,21.858778873604983,33.2054183933604,8.0,47.787584349857255,113.05440768384588,0.0,61650,age 3 cohorts,60-80
218.93294878955376,154.06809652802022,312.0,25.21787069314177,29.38144252842461,14.0,120.95011844461992,154.05587444032665,0.0,51925,age 3 cohorts,over 80
329.03522299132567,82.04109545935832,360.0,18.240033295364935,36.16458383694828,5.0,17.737054236397093,73.89760174957316,0.0,22825,age 3 cohorts,under 60
271.91697398036615,135.30699652933004,349.0,22.531906860121556,32.43243824536174,9.0,70.60982279668907,131.882908014763,0.0,136395,infarction,1
319.52510301992714,95.16934040615365,359.0,15.086586506877948,24.600666419876625,5.0,30.417175960026277,88.68311838312782,0.0,50235,stroke severity arrival cohort,Minor stroke
272.83800949856,130.08491353655774,344.0,25.899959945831505,33.31396714355815,13.0,66.31926986972859,126.32469981954326,0.0,52430,stroke severity arrival cohort,Moderate stroke
187.56586278586278,154.00721668417964,256.0,36.396548856548854,41.52406366399829,21.0,141.14885654885654,162.51597637486998,0.0,12025,stroke severity arrival cohort,Moderate to severe stroke
322.35411675016337,94.61680197356591,360.0,13.77156392942714,24.949904291226783,4.5,28.904595948595077,88.0466987184494,0.0,9180,stroke severity arrival cohort,No stroke symptoms
121.03080303635637,149.47004375718853,6.0,31.404274870155813,40.9893435451848,14.0,212.71993607670794,165.0622180571502,328.0,12515,stroke severity arrival cohort,Severe stroke
309.1110276041301,106.85792715390815,358.0,19.704734143429093,32.658503600872606,6.0,36.21563531642902,100.66138346516601,0.0,71185,prior disability,0.0
279.5264984362281,129.0977231535244,349.5,23.679576710509405,33.05894093263938,10.0,61.8452936892164,124.96947979686419,0.0,23340,prior disability,1.0
247.26705597493233,143.39974883756167,331.0,27.558325024925225,33.00831629526327,15.0,90.25067654180316,141.67950835097236,0.0,14040,prior disability,2.0
201.38464103807908,154.4127878911343,281.5,28.3500788260975,31.485387217961406,17.0,135.38030560271648,156.7287151920238,0.0,16490,prior disability,3.0
162.4676331759946,154.80630708796443,118.0,24.435041582378062,28.6966063837263,14.5,178.23488424365027,159.53965439784145,213.0,8900,prior disability,4.0
130.6647893199833,150.22529742601836,32.0,18.362745098039216,23.786792458553524,10.0,216.1322486441385,154.81816988013165,311.0,2395,prior disability,5.0
287.1537448023646,125.01013429772775,353.5,21.488287159961924,32.37438185129418,8.0,56.40547066780221,120.57770706758363,0.0,99805,any afib diagnosis,0.0
230.35854831657193,152.50959496242618,324.0,25.37838871884565,32.420374528821824,13.0,109.35231744643637,152.07562028846607,0.0,36590,any afib diagnosis,1.0
270.27093224569563,136.49937751051667,349.5,21.495331867571615,30.81034687908294,9.0,73.29479867019299,132.9193945942719,0.0,94150,Treatment time 270 both,None
254.64814814814815,134.3925457444675,319.25,37.657407407407405,51.394918116180676,19.0,72.73148148148148,135.80652858114493,0.0,110,Treatment time 270 both,ivt_mt_over_270mins
285.9915897992404,122.61919818326295,350.0,28.60255018990776,40.8069234854916,11.0,50.450352685838304,119.05132655106026,0.0,1845,Treatment time 270 both,ivt_mt_under_270mins
262.37735849056605,131.806647376173,329.0,36.48270440251572,43.13220630074281,19.0,66.19077568134172,131.28086783652796,0.0,1910,Treatment time 270 both,ivt_under_270mins_mt_over_270mins
282.46142542248344,129.1380110603139,351.0,23.889786921381337,36.209129780206766,9.0,58.70242468772961,125.33318090898199,0.0,1360,Treatment time 270 both,only_ivt_over_270mins
277.9944273690863,132.03655070304936,351.0,23.10993019848907,33.65830870258051,9.0,63.948697325711656,128.56111865955287,0.0,34815,Treatment time 270 both,only_ivt_under_270mins
233.8040254237288,144.15117424699676,308.5,40.51659604519774,47.35989835004356,22.0,90.73940677966101,147.4012116713835,0.0,1415,Treatment time 270 both,only_mt_over_270mins
243.30976220275343,142.6870143530271,320.0,35.94305381727159,45.110365342559646,18.0,85.83479349186483,144.2103387258163,0.0,800,Treatment time 270 both,only_mt_under_270mins
258.9413803834783,141.29065982930973,343.0,24.215071145766697,33.214148282371426,11.0,81.91227372534104,138.82328841401397,0.0,57840,precise onset known,0
281.4703658443443,129.90163019040006,353.0,21.292662745996587,31.78793334467378,8.0,62.28829654522773,125.88383576911332,0.0,78560,precise onset known,1
258.7059720397823,142.08345871457786,343.0,23.017381309814223,31.124511265327882,10.5,83.34549946831801,140.02642332642964,0.0,63950,male,0
283.57782716117543,127.90248166970703,353.0,22.10339687228257,33.53892656620847,8.0,59.36852130464189,123.16384115038855,0.0,72450,male,1
289.84842055634135,121.84711565380205,351.5,22.825318246110324,33.13805416197551,9.0,52.37042275656137,117.62152839146725,0.0,6365,eth5,Asian or Asian British
283.5738510301109,120.17769921635993,345.0,31.57797147385103,44.71498488052286,14.0,49.890649762282095,113.24922610942758,0.0,3155,eth5,"Black, Black British, Caribbean or African"
296.8198090692124,112.98064345675056,352.0,26.63365155131265,38.223772542320944,11.0,41.591885441527445,105.42723245856435,0.0,840,eth5,Mixed or multiple ethnic groups
264.8260511129431,139.40394032524807,347.5,24.154987633965376,35.319140959114236,9.0,76.09315746084089,136.39607703075131,0.0,1215,eth5,Other ethnic group
271.12698240103094,135.93917504196176,349.0,22.27147114493979,31.94590099405047,9.0,71.66086746405702,132.56900377719165,0.0,124155,eth5,White
273.8751891954826,132.80280128697945,348.5,23.785151550432722,33.90735908609519,10.0,67.39519540497535,129.29975167422427,0.0,25765,IMD 2019 QUINTILES,1
271.6203074250321,134.69496648333723,348.0,23.24082256968049,33.52733637542941,10.0,70.19778684190649,131.3979897206247,0.0,26480,IMD 2019 QUINTILES,2
271.73553675489717,135.5821065447083,349.0,22.256634838166118,32.36856471610122,9.0,71.0666292213719,132.3284029703173,0.0,28485,IMD 2019 QUINTILES,3
269.75380261761586,137.1464797937371,349.5,22.169154580827733,31.773945197823846,9.0,73.13859214715247,133.75050981192612,0.0,28270,IMD 2019 QUINTILES,4
272.7827602569718,136.00693792461828,351.0,21.328569864213755,30.569529823307313,8.5,70.94710906701708,132.29687593593007,0.0,27395,IMD 2019 QUINTILES,5
219.5799648506151,154.83329822838573,312.0,30.557117750439367,38.039196413764365,17.0,114.87697715289983,156.32596454702582,0.0,1140,covid inf vacc,Infection only
271.3468684582744,135.48924294345179,349.0,22.693199434229136,32.50967793095141,9.0,71.04568033946252,132.13223934173416,0.0,88375,covid inf vacc,None
238.87453971593897,146.7062179425661,324.0,30.66885849552867,39.08931605562171,16.0,95.47606522882694,145.04085841939744,0.0,1900,covid inf vacc,Vaccination and infection
275.7574528155081,133.42574178197845,351.0,21.668130182513394,31.729414511124055,9.0,67.58277571527022,129.79874493401005,0.0,44985,covid inf vacc,Vaccination only
275.29234761056466,133.64912551775635,350.0,21.022655100302067,29.278976290583774,9.0,68.74308728990783,130.49853251444262,0.0,12910,region,East Midlands
271.7447178722347,136.7494642238496,350.0,20.510191399453145,28.56390612066139,9.0,72.80822769077803,133.3793699063506,0.0,16090,region,East of England
272.9753568093904,131.9772238071323,347.0,26.91013071895425,38.50449958689919,11.5,65.17513672135522,126.90277756236338,0.0,14995,region,London
274.7384061981184,135.2202018402799,352.0,20.21234089651356,30.338775828872194,7.5,70.09994465965688,131.96751716490473,0.0,9035,region,North East
268.1240074475659,136.71232847726054,347.0,24.510514210612783,34.98202243762474,10.0,72.42566124527681,133.0494535237778,0.0,18260,region,North West
272.14537564415514,135.20292449869152,350.0,22.675300605731852,32.919838297730344,9.0,70.23804357653015,131.6509664449655,0.0,22120,region,South East
267.3115540460017,138.01936152752896,347.5,22.3995650101299,31.814368472221073,9.0,75.34614467882255,135.7558197153612,0.0,16780,region,South West
274.0247053656394,134.05471308003555,350.5,21.801515262425884,31.196068025027003,9.0,69.23504867872045,130.67942968390363,0.0,13660,region,West Midlands
274.3523008214371,134.70510422020652,351.0,20.95482095860914,30.40529013534439,8.5,69.74694951750539,131.62572922714628,0.0,12540,region,Yorkshire and The Humber
272.89567309380817,135.73169773846274,351.0,21.057721350050926,30.874740071665045,8.0,71.10585466933586,132.5429941529598,0.0,28475,RUC11 bin,Rural
271.65876913383494,135.19417661980853,349.0,22.920833178903674,32.82017915277283,9.5,70.47895741447685,131.70851446212356,0.0,107925,RUC11 bin,Urban
