exploratory_in_care_feature,exploratory_in_care_r2_best_kfold,exploratory_in_care_r2_mean,exploratory_at_home_feature,exploratory_at_home_r2_best_kfold,exploratory_at_home_r2_mean,exploratory_dead_feature,exploratory_dead_r2_best_kfold,exploratory_dead_r2_mean,causal_in_care_feature,causal_in_care_r2_best_kfold,causal_in_care_r2_mean,causal_at_home_feature,causal_at_home_r2_best_kfold,causal_at_home_r2_mean,causal_dead_feature,causal_dead_r2_best_kfold,causal_dead_r2_mean
stroke_severity_arrival,0.0655712366104126,0.0672203302383422,stroke_severity_arrival,0.2575327038764953,0.2643942832946777,stroke_severity_arrival,0.226029787753272,0.2286362757330379,stroke_severity_arrival,0.0612564325332641,0.0639987587928772,stroke_severity_arrival,0.2246198296546936,0.2322598695755005,stroke_severity_arrival,0.1907989565067782,0.1984404620162176
prior_disability,0.0929823279380798,0.0959939956665039,age,0.3298955798149109,0.336049735546112,age,0.3038481162287469,0.3069109522828623,prior_disability,0.0846419692039489,0.0864571928977966,age,0.3040760397911072,0.3093917369842529,age,0.2763813408787926,0.2847613498755492
arrival_to_scan_time_mins,0.103882348537445,0.1093804240226745,prior_disability,0.3542812824249267,0.3597680330276489,prior_disability,0.3252392264407747,0.3271930573992909,thrombolysis_no_but_timewindow,0.0853332638740539,0.0875788331031799,prior_disability,0.3259176969528198,0.3320111036300659,prior_disability,0.2989580375514726,0.3059521736595192
age,0.1143630743026733,0.1212074756622314,thrombolysis_no_but_haemorrhagic,0.3638878941535949,0.3683104515075683,thrombolysis_no_but_haemorrhagic,0.3356830148463965,0.3365545949765278,stroke_type,0.0853332638740539,0.0875788331031799,onset_to_thrombolysis_time_mins,0.3304691672325134,0.336429238319397,onset_to_thrombectomy_time_mins,0.3022092864562132,0.308557565765502
onset_to_su_arrival_time_mins,0.1237773537635803,0.1303631067276001,arrival_to_scan_time_mins,0.3725612282752991,0.3770153522491455,onset_in_hospital,0.3388210081577794,0.3408596683225242,onset_in_hospital,0.0853332638740539,0.0875788331031799,arrival_to_thrombectomy_time_mins,0.3326592564582825,0.3379389643669128,eth5,0.3044219467755378,0.3121631273601469
thrombolysis_no_but_haemorrhagic,0.1298811793327331,0.1351318955421447,arrival_to_thrombolysis_time_mins,0.3760518312454223,0.3795686960220337,eth5,0.3418973617953575,0.3425877138452362,thrombolysis_no_but_refusal,0.0847071051597595,0.0876087546348571,eth5,0.3351233124732971,0.3411875963211059,atrial_fibrillation,0.3057077607613075,0.3125511020066203
onset_to_scan_time_mins,0.1339083433151245,0.1404381990432739,eth5,0.3780754446983337,0.3818537592887878,arrival_to_thrombolysis_time_mins,0.3448501763796295,0.3463073434956707,thrombolysis_no_but_improving,0.084194791316986,0.0870201587677002,thrombolysis_no_but_improving,0.3377951979637146,0.3443710803985595,thrombolysis_no_but_comorbidity,0.3060011890263664,0.3106083404877832
region,0.13628910779953,0.1423289179801941,male,0.3801160812377929,0.383596658706665,afib_anticoagulant,0.3464417786238639,0.3477538910569036,diabetes,0.0839073657989502,0.0873588323593139,thrombolysis_no_but_comorbidity,0.3388846158981323,0.3446696400642395,afib_anticoagulant,0.3099213553057686,0.3193220125371274
arrive_by_ambulance,0.1378400444984436,0.14444100856781,onset_to_su_arrival_time_mins,0.3816554069519043,0.3858000040054321,onset_to_su_arrival_time_mins,0.3482934836394301,0.3511971047606123,arrive_by_ambulance,0.0834216713905334,0.0865913033485412,afib_heparin_anticoagulant,0.3394601941108703,0.3456617593765259,stroke_type,0.3099213553057686,0.3193220125371274
scan_to_thrombolysis_time_mins,0.1398466706275939,0.146666407585144,onset_to_scan_time_mins,0.3841758131980896,0.3872204422950744,onset_time_type,0.350088427305603,0.3522598348833279,thrombolysis_no_but_comorbidity,0.0834338665008544,0.0876839756965637,diabetes,0.3409326314926147,0.3460441827774048,onset_in_hospital,0.3099213553057686,0.3193220125371274
arrival_to_thrombectomy_time_mins,0.1406782150268554,0.1480152010917663,arrive_by_ambulance,0.3863556385040283,0.3896626830101013,atrial_fibrillation,0.351886325185994,0.354269733424313,tia_last_month,0.0828956127166748,0.0878104567527771,male,0.3419398665428161,0.3469858169555664,thrombolysis_no_but_timeunknownwakeup,0.3089931554609647,0.3179460994243647
tia_last_month,0.1409812331199646,0.1504263877868652,arrival_to_thrombectomy_time_mins,0.3872219800949096,0.3898503184318542,male,0.3531281467968089,0.3550947128418148,thrombolysis_no_but_othermedical,0.0824328064918518,0.0872907042503357,afib_anticoagulant,0.3430223703384399,0.3506994843482971,diabetes,0.3109415200349303,0.3185759453462892
thrombolysis_to_thrombectomy_time_mins,0.141130781173706,0.1494261026382446,afib_doac_anticoagulant,0.3888328075408935,0.393665611743927,thrombolysis_no_but_comorbidity,0.3543116252431472,0.3556345730551498,thrombolysis_no_but_age,0.0816870808601379,0.0869010686874389,atrial_fibrillation,0.3430777668952942,0.347567081451416,afib_heparin_anticoagulant,0.3105442950048331,0.3183959368869031
arrival_to_thrombolysis_time_mins,0.1414058923721313,0.1486185193061828,atrial_fibrillation,0.3898655533790588,0.3938711881637573,diabetes,0.3547936017431917,0.3570433175569011,atrial_fibrillation,0.0811743736267089,0.0874635577201843,thrombolysis_no_but_toomildsevere,0.3435021042823791,0.3484418392181396,thrombolysis_no_but_othermedical,0.3113563840133542,0.3205106874026601
thrombolysis_no_but_age,0.1420966863632202,0.1485059857368469,diabetes,0.391417932510376,0.3954846262931824,arrival_to_thrombectomy_time_mins,0.3562711700518358,0.3574706791904304,thrombolysis_no_but_timeunknownwakeup,0.080752694606781,0.0895071029663086,thrombolysis_no_but_medication,0.3445123553276062,0.3482311964035034,arrival_to_thrombectomy_time_mins,0.3127250406670295,0.3179710062701216
diabetes,0.1416014194488525,0.1500155329704284,thrombolysis_no_but_improving,0.3918619394302368,0.3968477845191955,arrive_by_ambulance,0.3570157562200795,0.3587608629159128,inr_arrival,0.0808872699737548,0.0907409787178039,scan_to_thrombectomy_time_mins,0.345346188545227,0.3493196368217468,thrombolysis_no_but_medication,0.3136704192570184,0.3214376520257601
thrombolysis_no_but_toomildsevere,0.1430930972099304,0.1502661705017089,congestive_heart_failure,0.3926070094108581,0.396316647529602,stroke_type,0.357836566827459,0.3590978741782855,afib_doac_anticoagulant,0.0815865039825439,0.0866506099700927,stroke_type,0.345346188545227,0.3493196368217468,prior_stroke_tia,0.3139668467244632,0.3225483706071832
afib_heparin_anticoagulant,0.1425836086273193,0.1509351730346679,inr_arrival,0.3930191397666931,0.3968628048896789,prior_stroke_tia,0.3579528456800203,0.3597807712122848,afib_vit_k_anticoagulant,0.0817550182342529,0.0871511697769165,onset_in_hospital,0.345346188545227,0.3493196368217468,thrombolysis_no_but_refusal,0.3138611238108428,0.3214514673083321
male,0.143056583404541,0.150282084941864,thrombolysis_no_but_othermedical,0.3927096247673035,0.3963685631752014,thrombolysis_no_but_toomildsevere,0.3585659265661738,0.3597118965710745,thrombolysis_no_but_haemorrhagic,0.0808873772621154,0.0864527225494384,thrombolysis_to_thrombectomy_time_mins,0.3445573210716247,0.3507684469223022,male,0.3144551028944218,0.3234501633019579
eth5,0.1431660532951355,0.1514657139778137,new_afib_diagnosis,0.3931697130203247,0.3980198502540588,thrombolysis_to_thrombectomy_time_mins,0.3586384284296909,0.3609360609288082,thrombolysis_to_thrombectomy_time_mins,0.0797966241836547,0.0861045122146606,afib_doac_anticoagulant,0.3456224322319031,0.3500961661338806,inr_arrival,0.3142014083534686,0.3215390643202769
prior_stroke_tia,0.1446248531341552,0.1530054807662964,thrombolysis_no_but_age,0.3934053897857666,0.397845983505249,new_afib_diagnosis,0.3587398709803985,0.3610459735936087,thrombolysis_no_but_toomildsevere,0.0804042339324951,0.0856748819351196,new_afib_diagnosis,0.3449461817741394,0.3488729596138,hypertension,0.3152057426705476,0.3219583156505264
thrombolysis_no_but_improving,0.1438918471336364,0.1520570516586303,afib_vit_k_anticoagulant,0.3935705423355102,0.3982686996459961,afib_antiplatelet,0.3588772090630441,0.3614235562891507,onset_to_su_arrival_time_mins,0.0803729534149169,0.0853136181831359,afib_vit_k_anticoagulant,0.3443426012992859,0.3485743999481201,thrombolysis_to_thrombectomy_time_mins,0.3145431669140125,0.3232140246109171
thrombolysis_no_but_medication,0.1446053385734558,0.1522346138954162,region,0.3933842420578003,0.3977628350257873,inr_arrival,0.3592251815534525,0.3608786401972488,age,0.0858999609947204,0.0902628898620605,prior_stroke_tia,0.3449443697929382,0.3496503829956054,recent_covid,0.3144701702189314,0.3213012071156582
recent_covid,0.1447484135627746,0.1521932482719421,afib_heparin_anticoagulant,0.3938036799430847,0.3985331654548645,afib_doac_anticoagulant,0.3592608971444152,0.3611714641265189,thrombolysis_no_but_medication,0.0848535299301147,0.0934008359909057,thrombolysis_no_but_refusal,0.3452836036682128,0.3508192896842956,afib_antiplatelet,0.3143380254796572,0.3212285486960515
inr_arrival,0.145265507698059,0.1516425013542175,thrombolysis_no_but_refusal,0.3939965724945068,0.3985975980758667,hypertension,0.3595715500251148,0.361822778728783,onset_to_thrombectomy_time_mins,0.0872381210327148,0.0933472514152526,recent_covid,0.345503032207489,0.3509328961372375,thrombolysis_no_but_age,0.3136719313957365,0.3232237178388771
